lang,text_id,aoi_index,aoi_text,aoi_text_ws_after
en,phi2_greedy_search_item01,0,Having,True
en,phi2_greedy_search_item01,1,both,True
en,phi2_greedy_search_item01,2,a,True
en,phi2_greedy_search_item01,3,pet,True
en,phi2_greedy_search_item01,4,cat,True
en,phi2_greedy_search_item01,5,and,True
en,phi2_greedy_search_item01,6,a,True
en,phi2_greedy_search_item01,7,pet,True
en,phi2_greedy_search_item01,8,bird,True
en,phi2_greedy_search_item01,9,is,True
en,phi2_greedy_search_item01,10,a,True
en,phi2_greedy_search_item01,11,terrible,True
en,phi2_greedy_search_item01,12,idea.,True
en,phi2_greedy_search_item01,13,Cats,True
en,phi2_greedy_search_item01,14,are,True
en,phi2_greedy_search_item01,15,natural,True
en,phi2_greedy_search_item01,16,predators,True
en,phi2_greedy_search_item01,17,and,True
en,phi2_greedy_search_item01,18,will,True
en,phi2_greedy_search_item01,19,kill,True
en,phi2_greedy_search_item01,20,birds,True
en,phi2_greedy_search_item01,21,in,True
en,phi2_greedy_search_item01,22,no,True
en,phi2_greedy_search_item01,23,time.,True
en,phi2_greedy_search_item01,24,Birds,True
en,phi2_greedy_search_item01,25,are,True
en,phi2_greedy_search_item01,26,noisy,True
en,phi2_greedy_search_item01,27,and,True
en,phi2_greedy_search_item01,28,messy,True
en,phi2_greedy_search_item01,29,and,True
en,phi2_greedy_search_item01,30,will,True
en,phi2_greedy_search_item01,31,make,True
en,phi2_greedy_search_item01,32,your,True
en,phi2_greedy_search_item01,33,house,True
en,phi2_greedy_search_item01,34,smell,True
en,phi2_greedy_search_item01,35,bad.,True
en,phi2_greedy_search_item01,36,Cats,True
en,phi2_greedy_search_item01,37,will,True
en,phi2_greedy_search_item01,38,also,True
en,phi2_greedy_search_item01,39,scratch,True
en,phi2_greedy_search_item01,40,and,True
en,phi2_greedy_search_item01,41,bite,True
en,phi2_greedy_search_item01,42,your,True
en,phi2_greedy_search_item01,43,bird,True
en,phi2_greedy_search_item01,44,and,True
en,phi2_greedy_search_item01,45,make,True
en,phi2_greedy_search_item01,46,it,True
en,phi2_greedy_search_item01,47,sick.,True
en,phi2_greedy_search_item01,48,You,True
en,phi2_greedy_search_item01,49,will,True
en,phi2_greedy_search_item01,50,end,True
en,phi2_greedy_search_item01,51,up,True
en,phi2_greedy_search_item01,52,with,True
en,phi2_greedy_search_item01,53,a,True
en,phi2_greedy_search_item01,54,dead,True
en,phi2_greedy_search_item01,55,bird,True
en,phi2_greedy_search_item01,56,and,True
en,phi2_greedy_search_item01,57,a,True
en,phi2_greedy_search_item01,58,traumatized,True
en,phi2_greedy_search_item01,59,cat.,True
en,phi2_greedy_search_item01,60,Do,True
en,phi2_greedy_search_item01,61,yourself,True
en,phi2_greedy_search_item01,62,and,True
en,phi2_greedy_search_item01,63,your,True
en,phi2_greedy_search_item01,64,pets,True
en,phi2_greedy_search_item01,65,a,True
en,phi2_greedy_search_item01,66,favor,True
en,phi2_greedy_search_item01,67,and,True
en,phi2_greedy_search_item01,68,don't,True
en,phi2_greedy_search_item01,69,get,True
en,phi2_greedy_search_item01,70,both.,False
en,phi2_greedy_search_item02,0,Once,True
en,phi2_greedy_search_item02,1,upon,True
en,phi2_greedy_search_item02,2,a,True
en,phi2_greedy_search_item02,3,"time,",True
en,phi2_greedy_search_item02,4,there,True
en,phi2_greedy_search_item02,5,was,True
en,phi2_greedy_search_item02,6,a,True
en,phi2_greedy_search_item02,7,person,True
en,phi2_greedy_search_item02,8,who,True
en,phi2_greedy_search_item02,9,moved,True
en,phi2_greedy_search_item02,10,into,True
en,phi2_greedy_search_item02,11,a,True
en,phi2_greedy_search_item02,12,new,True
en,phi2_greedy_search_item02,13,house.,True
en,phi2_greedy_search_item02,14,While,True
en,phi2_greedy_search_item02,15,exploring,True
en,phi2_greedy_search_item02,16,the,True
en,phi2_greedy_search_item02,17,"house,",True
en,phi2_greedy_search_item02,18,they,True
en,phi2_greedy_search_item02,19,discovered,True
en,phi2_greedy_search_item02,20,a,True
en,phi2_greedy_search_item02,21,hidden,True
en,phi2_greedy_search_item02,22,door,True
en,phi2_greedy_search_item02,23,in,True
en,phi2_greedy_search_item02,24,the,True
en,phi2_greedy_search_item02,25,basement.,True
en,phi2_greedy_search_item02,26,"Intrigued,",True
en,phi2_greedy_search_item02,27,they,True
en,phi2_greedy_search_item02,28,opened,True
en,phi2_greedy_search_item02,29,the,True
en,phi2_greedy_search_item02,30,door,True
en,phi2_greedy_search_item02,31,and,True
en,phi2_greedy_search_item02,32,found,True
en,phi2_greedy_search_item02,33,a,True
en,phi2_greedy_search_item02,34,hidden,True
en,phi2_greedy_search_item02,35,room,True
en,phi2_greedy_search_item02,36,filled,True
en,phi2_greedy_search_item02,37,with,True
en,phi2_greedy_search_item02,38,old,True
en,phi2_greedy_search_item02,39,"books,",True
en,phi2_greedy_search_item02,40,antique,True
en,phi2_greedy_search_item02,41,"furniture,",True
en,phi2_greedy_search_item02,42,and,True
en,phi2_greedy_search_item02,43,mysterious,True
en,phi2_greedy_search_item02,44,artifacts.,True
en,phi2_greedy_search_item02,45,The,True
en,phi2_greedy_search_item02,46,person,True
en,phi2_greedy_search_item02,47,spent,True
en,phi2_greedy_search_item02,48,hours,True
en,phi2_greedy_search_item02,49,exploring,True
en,phi2_greedy_search_item02,50,the,True
en,phi2_greedy_search_item02,51,room,True
en,phi2_greedy_search_item02,52,and,True
en,phi2_greedy_search_item02,53,learning,True
en,phi2_greedy_search_item02,54,about,True
en,phi2_greedy_search_item02,55,its,True
en,phi2_greedy_search_item02,56,history.,True
en,phi2_greedy_search_item02,57,They,True
en,phi2_greedy_search_item02,58,realized,True
en,phi2_greedy_search_item02,59,that,True
en,phi2_greedy_search_item02,60,the,True
en,phi2_greedy_search_item02,61,room,True
en,phi2_greedy_search_item02,62,had,True
en,phi2_greedy_search_item02,63,been,True
en,phi2_greedy_search_item02,64,hidden,True
en,phi2_greedy_search_item02,65,for,True
en,phi2_greedy_search_item02,66,many,True
en,phi2_greedy_search_item02,67,years,True
en,phi2_greedy_search_item02,68,and,True
en,phi2_greedy_search_item02,69,decided,True
en,phi2_greedy_search_item02,70,to,True
en,phi2_greedy_search_item02,71,share,True
en,phi2_greedy_search_item02,72,their,True
en,phi2_greedy_search_item02,73,discovery,True
en,phi2_greedy_search_item02,74,with,True
en,phi2_greedy_search_item02,75,the,True
en,phi2_greedy_search_item02,76,world.,True
en,phi2_greedy_search_item02,77,The,True
en,phi2_greedy_search_item02,78,hidden,True
